,0,1,2,3,4
106,2021-03-07 13:20:54,"Mohsin sir,only chance of being bright at Bengaluru is weather not RCB https://t.co/DT0JJEgvMw",sahilbudh59,,en
107,2021-03-07 13:20:49,"RT @KhushnumaKashm1: Javid Parsa runs Parsa’s, a restaurant chain that has 27 outlets across #Kashmir, #Noida, #Bengaluru and #Ladakh. This…",M8765160842,,en
108,2021-03-07 13:20:44,"RT @ckchetanck: #BJPCDScandal 

Karnataka MLA weeps in assembly over ‘gay sex’ video | Bengaluru News -  of India https://t.co/MspeV5nveR",NimmaAntharanga,Eternity,en
109,2021-03-07 13:20:43,"RT @BrokenCricket: Ahmedabad, Bengaluru, Chennai, Delhi, Mumbai &amp; Kolkata will host IPL 2021 Interestingly

CSK won't play at Chennai
RCB w…",ParminderMaan13,,en
110,2021-03-07 13:20:24,"Everyone who enjoys Bengaluru Metro travel should also spare a thought for the blood, sweat and tears that are buil… https://t.co/rJtBoEdIp2",tarauk,,en
111,2021-03-07 13:20:07,"RT @RishiPrasadOrg: A door to door Rishi Prasad Campaign at Mahadevpura Area, Bengaluru with the holy inspiration of Sant Shri AsharamJi Ba…",SeemaMa76232430,Maharashtra,en
112,2021-03-07 13:20:03,H D Kumaraswamy hits out at attempts to bring petroleum products under GST https://t.co/jQOK8fDr8x,TOIBengaluru,Bengaluru,en
113,2021-03-07 13:19:52,"RT @BrokenCricket: Ahmedabad, Bengaluru, Chennai, Delhi, Mumbai &amp; Kolkata will host IPL 2021 Interestingly

CSK won't play at Chennai
RCB w…",RajeshG96127128,"Jaipur, India",en
114,2021-03-07 13:19:34,"RT @TheJaggi: Watch Bengaluru's dynamic MP @Tejasvi_Surya, Ashok Haranahalli, former AG of Karnataka, and me at a panel discussion on One n…",ravishankar_iam,,en
115,2021-03-07 13:18:49,"RT @KrishnaKRM: At Chennai
SRH - Warner 391 runs @ 135
MI - Rohit 160 runs @ 119

At Mumbai
CSK - Raina 555 runs @ 150
RR - Buttler 454 run…",aravinthdhoni11,"Sivagiri, India",en
116,2021-03-07 13:18:30,"RT @RishiPrasadOrg: A door to door Rishi Prasad Campaign at Mahadevpura Area, Bengaluru with the holy inspiration of Sant Shri AsharamJi Ba…",PandavSandhya,"Chandrapur, India",en
117,2021-03-07 13:18:24,"RT @TheJaggi: Watch Bengaluru's dynamic MP @Tejasvi_Surya, Ashok Haranahalli, former AG of Karnataka, and me at a panel discussion on One n…",Krish_BJP,भारत,en
118,2021-03-07 13:18:21,"RT @TheJaggi: Watch Bengaluru's dynamic MP @Tejasvi_Surya, Ashok Haranahalli, former AG of Karnataka, and me at a panel discussion on One n…",dr_ryadavYBD,,en
119,2021-03-07 13:18:07,"RT @BrokenCricket: Ahmedabad, Bengaluru, Chennai, Delhi, Mumbai &amp; Kolkata will host IPL 2021 Interestingly

CSK won't play at Chennai
RCB w…",amaan1518,"Pune, Maharashtra ",en
120,2021-03-07 13:18:02,RT @Mahimulki: Going to Karnataka Tulu Academy function at Bengaluru. Its been said that @BSYBJP and @DVSadanandGowda are the chief guests.…,Irish_Mob_,Kudla,en
